,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Key,P/B,시작,종지,다음코드,Tempo,Inversion,,,,artist,Ban,Level,Chromatic Scale,Tension,Complexity,,코드 다양,코드 다양(3화음),코드 바뀜,코드 바뀜(3화음 기준),한마디 코드수,한마디 코드수(3화음),AY~BB,EvoM,Alternative,Country,folk,pop,Dance,EDM,Techno,Rock,E-listening,Classic,Ballad,RnB/Soul,Soul,R+S,Funk,Disco,Nu Disco,Hip Hop 1,Hip Hop 2,Boombap,Trap,Jazz,Lofi,K-pop,Trot,Ppong,T+P,Children,,15634,1564,6415,1364,6545,1645,1465,1545,12151,4536,3625,6251,1214,4125,44m1,5415,1451,42151,15471,678,선택안됨,이별,사랑,인생,향수,자연,기타,,,,,,,,,,,,,,,d
Jeonyeok haneul - 3,Dm_7,,,,,,,,,,,,,,,,C/3,,,,,,,,,,,,,,,,F,,,,,,,,G,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,G,,,,,,,,Em_7,,,,,,,,A_#9,,,,,,,,Dm_7,,,,,,,,,,,,,,,,Bb,,,,,,,,G,,,,,,,,F,O,,,,,12.5%,,,Jeonyeok haneul - 3,Alley,X,,4%,9%,6%,569,#DIV/0!,9,23,23,#DIV/0!,3,#DIV/0!,,,,,o,,,,,o,,o,,,,,,,,#DIV/0!,,,,,o,,,0,,Jeonyeok haneul - 3,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sul hanjanhae yo - 1,C,,,,,,,,G,,,,,,,,F,,,,G,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,F,,,,G_9_s4,,,,C,,,,,,,,C,,,,,,,,G,,,,,,,,F,,,,G,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,F,,,,G_9_s4,,,,C,,,,,,,,C,,,,,,0.0%,,,Sul hanjanhae yo - 1,zia,,2,0%,4%,2%,570,#DIV/0!,4,27,27,#DIV/0!,4,#DIV/0!,,,,,o,,,,,o,,o,,,,,,,,#DIV/0!,,,,,o,,,0,,Sul hanjanhae yo - 1,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,
Geori eseo - 2,Am_7,,,,,,,,Em/3,,,,,,,,F,,,,,,,,C/3,,,,C,,,,F_6,,,,Dm_7,,,,D/3,,,,D,,,,G_9_s4,,,,,,,,G,,,,,,,,F_M7,,,,,,,,G_7/7,,,,,,,,Em_7,,,,,,,,Am,,,,,,,,Dm_7,,,,,,,,D/3,,,,D,,,,G_9_s4,,,,,,,,G,,,,,,,,C,O,,,,,21.9%,,,Geori eseo - 2,Sung sikuyng,,3,3%,15%,9%,571,#DIV/0!,11,31,31,#DIV/0!,4,#DIV/0!,o,,,,o,,,,,v,,o,,,,,,,,#DIV/0!,,,v,,o,,,0,,Geori eseo - 2,,,,,,,,,,o,o,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geori eseo - 3,C,,,,,,,,G/3,,,,,,,,Am_7,,,,,,,,C/5,,,,,,,,F_M7,,,,,,,,C/3,,,,,,,,Dm_7,,,,,,,,G_9_s4,,,,G,,,,C,,,,,,,,G/3,,,,,,,,Am_7,,,,,,,,,,,,Gm_7,,,,F_M7,,,,,,,,C/3,,,,,,,,Dm_7,,,,,,,,G_9_s4,,,,,,,,C,,,,,,31.3%,,,Geori eseo - 3,Sung sikuyng,,3,1%,14%,8%,572,#DIV/0!,10,30,29,#DIV/0!,3,#DIV/0!,,,,,o,,,,,o,,o,,,,,,,,#DIV/0!,,,o,,o,,,0,,Geori eseo - 3,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kkeut sarang - v1,C,,,,,,,,,,,,,,,,Dm_7/7,,,,,,,,,,,,,,,,C_M9_s4,,,,,,,,,,,,,,,,C,,,,,,,,,,,,G/3,,,,Am,,,,,,,,,,,,,,,,D_7/3,,,,,,,,,,,,,,,,G_7_s4,,,,,,,,,,,,,,,,G_9_s4,,,,,,,,,,,,,,,,C,,,,,,28.1%,,,Kkeut sarang - v1,Kim Bumsoo,,4,3%,25%,14%,573,#DIV/0!,7,16,16,#DIV/0!,3,#DIV/0!,,,,,o,,,,,o,,o,,,,,,,,#DIV/0!,,,o,,o,,,0,,Kkeut sarang - v1,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Kkeut sarang - v2,C_2,,,,,,,,,,,,,,,,F/5,,,,,,,,,,,,,,,,C_M9_s4,,,,,,,,,,,,,,,,C,,,,,,,,,,,,G/3,,,,Am_7,,,,,,,,Gm_7,,,,C_(7),,,,F_M7,,,,,,,,,,,,,,Em_7,,Dm_7,,,,,,,,,,,,,,,,G_9_s4,,,,,,,,G_9,,,,G_7,,,,C,,,,,,15.6%,,,Kkeut sarang - v2,Kim Bumsoo,,3,1%,23%,12%,574,#DIV/0!,9,20,19,#DIV/0!,4,#DIV/0!,o,,,,o,,,,,v,,o,,,,,,,,#DIV/0!,,,v,,o,,,0,,Kkeut sarang - v2,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Kkeut sarang - c2,C,,,,,,,,,,,,C/5,,,,Bhdim_(6),,,,,,,,E_7,,,,E_7/3,,,,Am_7,,,,,,,,Gm_7,,,,C_7,,,,F_M7,,,,,,,,,,,,,,Em_7,,Dm_7,,,,,,,,G_9_s4,,,,G_7/7,,,,Em_7,,,,Em_7/5,,Ehdim/5,,A_b9,,,,A_b9,,,,Dm_7,,,,,,,,G_9_s4,,,,G_7,,,,C,,,,,,,,,,,,,,,,,O,,,,,12.5%,,,Kkeut sarang - c2,,,4,7%,19%,13%,575,#DIV/0!,12,25,21,#DIV/0!,4,#DIV/0!,o,,,,o,,,,,v,,o,,,,,,,,#DIV/0!,,,v,,o,,,0,,Kkeut sarang - c2,,,,,,,,,,o,o,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All My Love - b,Am,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,E/3,,,,,,,,Am,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,G,,,,,,,,Am,,,,,,6.3%,,,All My Love - b,Major Lazer,,3,1%,0%,1%,576,#DIV/0!,6,19,19,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,All My Love - b,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Around The World,Am,,,,,,,,G,,,,,,,,D/3,,,,,,,,F,,,,,,,,Am,,,,,,,,G,,,,,,,,D/3,,,,,,,,F,,,,,,,,Am,,,,,,,,G,,,,,,,,D/3,,,,,,,,F,,,,,,,,Am,,,,,,,,G,,,,,,,,D/3,,,,,,,,F,,,,,,,,Am,,,,,,25.0%,,,Around The World,Daft Punk,,4,5%,0%,3%,577,#DIV/0!,5,31,31,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Around The World,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Call On Me,Am,,,,,,C,,,,,,,,G,,,,,,,,F,,,,,,,,Am,,,,,,,,C,,,,,,,,G,,,,,,,,F,,,,,,,,Am,,Am,,,,,,C,,,,,,,,G,,,,,,,,F,,,,,,,,Am,,,,,,,,C,,,,,,,,G,,,,,,,,F,,,,,,,,,,Am,,,,,,0.0%,,,Call On Me,,,1,0%,0%,0%,578,#DIV/0!,2,3,3,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Call On Me,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Cinema Remix ,F,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,F,,,,,,0.0%,,,Cinema Remix ,Skrillex,,1,0%,0%,0%,579,#DIV/0!,5,15,15,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Cinema Remix ,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Divinity,F_M7,,,,,,,,,,,,,,,,F_M7_s2,,,,,,,,,,,,,,,,C_2,,,,,,,,,,,,,,,,C_M7,,,,,,,,,,,,,,,,F_M7,,,,,,,,,,,,,,,,F_M7_s2,,,,,,,,,,,,,,,,C_2,,,,,,,,,,,,,,,,C_M7,,,,,,,,,,,,,,,,F,,,,,,0.0%,,,Divinity,Porter Robinson,,1,0%,25%,13%,580,#DIV/0!,3,15,15,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Divinity,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Faded,Am,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Am,,,,,,0.0%,,,Faded,Alan Walker,,1,0%,0%,0%,581,#DIV/0!,5,15,15,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Faded,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Feel Good Inc,Am,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm_7,,,,,,,,,,,,,,,,Em_7,,,,,,,,Em,,,,,,,,Am,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm_7,,,,,,,,,,,,,,,,G,,,,G_2,,,,G,,,,G_2,,,,Am,,,,,,0.0%,,,Feel Good Inc,Gorillaz,,1,0%,8%,4%,582,#DIV/0!,5,19,16,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Feel Good Inc,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Feel So Close,Dm_7,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Dm_7,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Dm,,,,,,0.0%,,,Feel So Close,,,1,0%,5%,3%,583,#DIV/0!,5,15,15,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Feel So Close,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Get Lucky,Dm_7,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm_7,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm,,,,,,0.0%,,,Get Lucky,Daft Punk,,1,0%,10%,5%,584,#DIV/0!,5,15,15,#DIV/0!,2,#DIV/0!,o,,,,o,o,o,,,,,,o,,o,o,o,,,#DIV/0!,,,,v,,,,0,,Get Lucky,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Ghost Voices,Dm,,,,,,,,,,,,,,,,Am,,,,,,,,Em,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,Em,,,,,,,,Dm,,,,,,,,,,,,,,,,Am,,,,,,,,Em,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,Em,,,,,,,,Dm,,,,,,0.0%,,,Ghost Voices,Virtual Self,,2,0%,0%,0%,585,#DIV/0!,5,19,19,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Ghost Voices,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Ghosts N Stuff,Am,,,,,,,,,,,,,,,,G_2,,,,,,F,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,G_2,,,,,,F,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,Am,,,,,,0.0%,,,Ghosts N Stuff,Deadmau5,,,10%,2%,6%,586,#DIV/0!,3,7,7,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Ghosts N Stuff,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Heros,C,,,,,,,,,,,,,,Em,,,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,Em,,,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,C,,,,,,0.0%,,,Heros,Alesso,,1,0%,0%,0%,587,#DIV/0!,3,7,7,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Heros,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Hideaway,Am,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,Am,,,,,,0.0%,,,Hideaway,Kiesza,,1,5%,0%,3%,588,#DIV/0!,4,9,9,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Hideaway,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Holdin' On(?),G,,,,,,,,Bb_M7,,,,Dm,,,,,,,,,,,,Am,,,,F_s6,,,,G,,,,,,,,Bb_M7,,,,Dm,,,,,,,,,,,,Am,,,,F_s6,,,,G,,,,,,,,Bb_M7,,,,Dm,,,,,,,,,,,,Am,,,,F_s6,,,,G,,,,,,,,Bb_M7,,,,Dm,,,,,,,,,,,,Am,,,,F_s6,,,,G,,,,,,0.0%,,,Holdin' On(?),,,,3%,5%,4%,589,#DIV/0!,6,27,27,#DIV/0!,4,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Holdin' On(?),,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Home,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,Am,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,F,,,,,,0.0%,,,Home,Madeon,,1,0%,0%,0%,590,#DIV/0!,4,13,13,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Home,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
I Could Be The One,Am,,,,,,,,C,,,,,,,,F,,,,,,,,G,,,,,,,,Dm,,,,,,,,Em,,,,,,,,F,,,,,,,,G,,,,,,,,Am,,,,,,,,C,,,,,,,,F,,,,,,,,G,,,,,,,,Dm,,,,,,,,Em,,,,,,,,F,,,,,,,,G,,,,,,,,Am,,,,,,0.0%,,,I Could Be The One,Avicii,,1,0%,0%,0%,591,#DIV/0!,7,31,31,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,I Could Be The One,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Language,F_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am_7,,,,,,G,,,,,,,,,,Em,,,,,,F_2,,,,,,,,,,F_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,0.0%,,,Language,Porter Robinson,,2,0%,18%,9%,592,#DIV/0!,4,9,9,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Language,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Levels,Am,,,,,,,,C,,,,,,,,G,,,,,,F,,,,,,,,,,Am,,,,,,,,C,,,,,,,,G,,,,,,F,,,,,,,,,,Am,,,,,,,,C,,,,,,,,G,,,,,,F,,,,,,,,,,Am,,,,,,,,C,,,,,,,,G,,,,,,F,,,,,,,,,,Am,,,,,,0.0%,,,Levels,Avicii,,1,0%,0%,0%,593,#DIV/0!,4,23,23,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Levels,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Love Is Gone,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Em_s4,,,,,,,,,,,,,,,,Em,,,,,,,,,,,,,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,G_s2,,,,,,,,Am,,,,,,0.0%,,,Love Is Gone,David Guetta,,2,0%,4%,2%,594,#DIV/0!,6,11,11,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Love Is Gone,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Lunar - 1,F_M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Em_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,0.0%,,,Lunar - 1,Virtual Riot,,1,0%,20%,10%,595,#DIV/0!,5,7,7,#DIV/0!,2,#DIV/0!,o,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,v,,,,0,,Lunar - 1,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Lunar - 2,F_M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,0.0%,,,Lunar - 2,Virtual Riot,,1,0%,20%,10%,596,#DIV/0!,5,7,7,#DIV/0!,2,#DIV/0!,o,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,v,,,,0,,Lunar - 2,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Million Voices,C,,,,,,,,,,,,,,,,Em/5,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,Em/5,,,,,,,,,,,,,,,,Am,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,25.0%,,,Million Voices,Otto Knows,,1,0%,0%,0%,597,#DIV/0!,5,15,15,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Million Voices,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Never Be Like You,C,,,,,,,,Dm,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,Dm,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,Dm,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,Dm,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,0.0%,,,Never Be Like You,Flume,,1,0%,0%,0%,598,#DIV/0!,4,23,23,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Never Be Like You,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Nobody To Love,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C/3,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C/3,,,,,,,,,,,,G_9_s4,,,,,,,,,,,,,,,,,,,,C,O,,,,,18.8%,,,Nobody To Love,Sigma,,1,0%,9%,5%,599,#DIV/0!,5,11,11,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Nobody To Love,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
I'm Not Alone,Dm,,,,,,Em,,,,,,F,,,,,,,,,,,,,,,,,,,,Am,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,Dm,,,,,,Em,,,,,,F,,,,,,,,,,,,,,,,,,,,Am,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,Dm,,,,,,0.0%,,,I'm Not Alone,Calvin Harris,,1,0%,0%,0%,600,#DIV/0!,4,15,15,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,I'm Not Alone,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Pjanoo,Am,,,,G,,,,F,,,,,,,,,,,,G,,,,Dm,,,,,,,,,,,,Em,,,,F,,,,,,,,,,,,G,,,,Am,,,,,,,,Am,,,,G,,,,F,,,,,,,,,,,,G,,,,Dm,,,,,,,,,,,,Em,,,,F,,,,,,,,,,,,G,,,,Am,,,,,,,,Am,,,,,,0.0%,,,Pjanoo,Eric Prydz,,2,0%,0%,0%,601,#DIV/0!,6,25,25,#DIV/0!,4,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Pjanoo,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Right Here Right Now,Dm,,,,,,,,C/3,,,,,,,,C,,,,,,,,G/3,,,,,,,,Dm,,,,,,,,C/3,,,,,,,,C,,,,,,,,G/3,,,,,,,,Dm,,,,,,,,C/3,,,,,,,,C,,,,,,,,G/3,,,,,,,,Dm,,,,,,,,C/3,,,,,,,,C,,,,,,,,G/3,,,,,,,,Dm,,,,,,50.0%,,,Right Here Right Now,Fatboy Slim,,1,0%,0%,0%,602,#DIV/0!,5,31,31,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Right Here Right Now,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Say My Name,Dm_7,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm_7,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,Am_7,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm,,,,,,0.0%,,,Say My Name,Odesza,,1,0%,10%,5%,603,#DIV/0!,5,15,15,#DIV/0!,2,#DIV/0!,o,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,v,,,,0,,Say My Name,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Seek Bromance,C,,,,,,,,,,,,C_s2,,,G,,,,,,,,,,,,,,,Em,,,,,,,,Am,,,,,,,,,,Am,,,,,,,,,,G/3,,,,C,,C,,,,,,,,,,,,C_s2,,,G,,,,,,,,,,,,,,,Em,,,,,,,,Am,,,,,,,,,,Am,,,,,,,,,,G/3,,,,,,C,,,,,,7.8%,,,Seek Bromance,,,1,0%,1%,0%,604,#DIV/0!,3,11,11,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Seek Bromance,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Sexy Bitch,Am,,,,,,,,C,,,,,,,,F,,,,,,,,C,,,,,,Dm,,Am,,,,,,,,C,,,,,,,,F,,,,,,,,C,,,,,,Dm,,Am,,,,,,,,C,,,,,,,,F,,,,,,,,C,,,,,,Dm,,Am,,,,,,,,C,,,,,,,,F,,,,,,,,C,,,,,,Dm,,Am,,,,,,0.0%,,,Sexy Bitch,David Guetta,,1,0%,0%,0%,605,#DIV/0!,4,31,31,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Sexy Bitch,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
She Wolf Falling To Pieces,Dm,,,,,,Dm_2,,,,,,Dm,,,,Am,,,,,,Am_4,,,,,,Am,,,,C,,,,,,C_2,,,,,,C,,,,G_s4,,,,,,G,,,,,,,,,,Dm,,,,,,Dm_2,,,,,,Dm,,,,Am,,,,,,Am_4,,,,,,Am,,,,C,,,,,,C_2,,,,,,C,,,,G_s4,,,,,,G,,,,,,,,,,Dm,,,,,,0.0%,,,She Wolf Falling To Pieces,David Guetta,,2,0%,8%,4%,606,#DIV/0!,5,21,21,#DIV/0!,2,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,She Wolf Falling To Pieces,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Shelter,Am_7,,,,,,,,G,,,,,,,,F_s2,,,,,,,,C/3,,,,,,,,Dm_7,,,,,,,,,,,,,,,,G_7_s4,,,,,,,,,,,,,,,,Am_7,,,,,,,,G,,,,,,,,F_s2,,,,,,,,C/3,,,,,,,,Dm_7,,,,,,,,,,,,,,,,G_7_s4,,,,,,,,,,,,,,,,Am,,,,,,12.5%,,,Shelter,Porter Robinson and Madeon,,1,0%,20%,10%,607,#DIV/0!,6,23,23,#DIV/0!,3,#DIV/0!,,,,,,o,o,,,,,,,,,,,,,#DIV/0!,,,,,,,,0,,Shelter,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Slide,F_M7,,,,,,,,,,,,,,,,Em_7,,,,,,,,Am_7,,,,,,,,Dm_9,,,,,,,,,,,,,,,,Em_7,,,,,,,,F_M7,,,,,,,,F_M7,,,,,,,,,,,,,,,,Em_7,,,,,,,,Am_7,,,,,,,,Dm_9,,,,,,,,,,,,,,,,Em_7,,,,,,,,F_M7,,,,,,,,F,,,,,,0.0%,,,Slide,Calvin Harris,,1,0%,25%,13%,608,#DIV/0!,5,23,23,#DIV/0!,3,#DIV/0!,o,,,,o,o,o,,,,,,o,,o,,,,,#DIV/0!,,,,v,,,,0,,Slide,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
